"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"29","Екопътека ""Пътят на ясния месец""","Бургас","Бръшлян","42.046176","27.428026","11","лека до средна","линеен","Започва от с. Бръшлян, минава през природен парк ""Странджа"", свързва с. Бръшлян и Стоилово. Минава през параклис ""Св. Пантелеймон"".","Маршрутът функционира като зелен коридор, разкриващ вековните гори на Природен парк Странджа. Носещ името на местния химн, той следва историческите стъпки на странджанските войводи от въстанието. След кратко изкачване в началото, пътеката се вие през автентична и тиха природа.","Исторически горски маршрут в Странджа по стъпките на илинденско-преображенските войводи.","Архитектурен резерват Бръшлян | Параклис Св. Пантелеймон | Исторически паметници","Теренът е горски. В началото има 20-минутно изкачване, след което профилът става лек до умерен. Изисква базова физическа форма заради 11-километровата дължина.","туристи със средна подготовка | любители на историята","пролет-есен; възможен и през лятото благодарение на гъстата горска сянка","опасност от кърлежи през пролетните и летните месеци","Балюва къща | Параклис Св. Марина | Параклис Св. Петка","https://opoznai.bg/view/ekomarshrut-patiat-na-iasniia-mesetz | https://www.bestplacesinbulgaria.com/destination-details/the-road-of-the-clear-crescent-tourist-eco-route/","high","Координатите са екстрахирани от GPS следа; информацията е потвърдена от ДПП Странджа."
"31","Red Dot Trail - Витоша","София","София","42.602696","23.284793","15","средна","маршрут","Класически маршрут на Витоша с червени маркировки","Класически и много популярен маршрут на територията на Природен парк Витоша, маркиран с червена боя. Трасето преминава през разнообразен релеф, включващ горски пояси и открити планински поляни. Пътеката е отлично поддържана и предлага чудесна възможност за еднодневен активен отдих в близост до столицата.","Популярен и отлично маркиран класически маршрут в Природен парк Витоша.","Природен парк Витоша | Разнообразен ландшафт | Отлична маркировка","Умерен терен с плавни изкачвания и спускания. Дължината от 15 км изисква добра издръжливост.","редовни планинари | активни хора | младежи","лято-есен","съобразете екипировката с променливото планинско време","Черни връх | Златните мостове","https://park-vitosha.org/","medium","Регионът е коригиран от 'България' на 'София'."
"32","Боров камък - Враца","Враца","Згориград","43.166667","23.500000","не е посочена","средна","кръгов","Маршрут до водопада Боров камък","Една от най-живописните и екстремни екопътеки във Врачанския Балкан, следваща тясното ждрело на река Лева. Маршрутът е изключително техничен, преодолявайки отвесни скали чрез система от дървени мостове и стръмни стълби, за да достигне до величествения 63-метров водопад Боров камък.","Атрактивен и много стръмен маршрут по река Лева, водещ до мощен 63-метров водопад.","Каньонът на река Лева | Водопад Боров камък | Дървени конзолни мостове и естакади","Тежък терен с денивелация от над 420 метра. Изобилие от мокри дървени стълби и мостове, изискващи голямо внимание.","опитни туристи | хора в отлична физическа форма","късна пролет и ранно лято, когато снеготопенето прави водопада най-пълноводен","много хлъзгави мостове и стълби; преминаването при дъжд или лед е строго непрепоръчително","Проходът Вратцата | Резерват Врачански карст","https://www.vr-balkan.net/bg/-5-gr-vratsa-s-zgorigrad-v-borov-kamak-h-parshevitsa-ekopateka/ | https://pateka.im/borov-kamak/","high","Регионът е коригиран от 'България' на 'Враца'. Официален източник от ПП Врачански Балкан."
"33","Триградско ждрело - Смолян","Смолян","Триград","41.616356","24.379627","8","лека","маршрут","Разходка през каньона на Триградска река","Ждрелото е сред най-внушителните природни феномени на Балканите, изваяно от водите на Триградската река. Същинската му част притиска посетителите между отвесни мраморни скали, издигащи се на стотици метри над пътя. Мястото създава усещане за респектираща грандиозност и мистика.","Величествено мраморно ждрело в сърцето на Родопите, оградено от стометрови отвесни скали.","Триградска река | Отвесни мраморни скали | Близост до пещерата Дяволското гърло","Преминаването се осъществява изцяло по съществуващия асфалтов път на дъното на каньона. Липсва техническа денивелация.","всички възрасти | семейства с автомобили | фотографи","целогодишно; през есента контрастът между скалите и гората е най-живописен","повишено внимание за преминаващи автомобили по тесния път; съществува реална опасност от падащи камъни","Дяволското гърло | Харамийска пещера | Ягодинска пещера","https://www.tourism-bg.net/obekti/88.1_trigradsko_jdrelo.html","medium","Координатите са извлечени от официални портали. Дължината на същинското ждрело е 3 км."
"62","Врацата","Враца","Враца","43.195000","23.535000","не е посочена","умерена","кръгов","Екопътека във България, регион Враца. Врацата.","Кратък и спиращ дъха маршрут, разкриващ магията на прохода Вратцата – природният символ на Враца. Отвесните варовикови скали се издигат на над 400 метра височина, привличайки алпинисти от цял свят. Пътеката е леснодостъпна и предлага неповторими панорами към речното ждрело.","Внушителен маршрут през прохода Вратцата, обграден от 400-метрови отвесни скали.","Проход Вратцата | Отвесни варовикови скали | Алпийски маршрути","Лесен достъп, предимно равнинен и добре утъпкан в основата на скалите. Подходящ за лека разходка.","всички възрасти | фотографи | алпинисти","целогодишно","опасност от падащи камъни в близост до скалните отвеси","Пещера Леденика | Врачански карст","https://www.vr-balkan.net/","high","Системна грешка: Данните за описание бяха тип плейсхолдър."
"74","Познавателен маршрут „Карст и биологично разнообразие”","Враца","Враца","43.204500","23.491300","не е посочена","лесен","кръгов","Кръгов маршрут от пещера Леденика, с информация за карстови форми, флора и фауна, места за отдих и обзорна кула с изглед към Дунавската равнина.","Познавателен маршрут, изграден по границата на резерват „Врачански карст“. Туристите имат възможност да се запознаят отблизо с уникални карстови образувания и специфичната флора на региона. Дървената обзорна кула в най-високата част предлага зашеметяваща панорама към Дунавската равнина.","Образователна горска пътека край пещера Леденика с панорамна кула и карстови форми.","Пещера Леденика | Обзорна дървена кула | Специфични карстови образувания","Пътеката е много лесна, преминаваща предимно през букова гора и открити поляни без екстремни наклони.","семейства с малки деца | ученически групи | начинаещи туристи","пролет-лято-есен","няма","Пещера Леденика | Проходът Вратцата","https://www.vr-balkan.net/bg/3-karst-i-biologichno-raznoobrazie-poznavatelen-marshrut/","high","Регионът е прецизиран от 'Врачански Балкан' към 'Враца' съгласно административната подялба."
"75","Познавателен маршрут „Планинарство за начинаещи”","Враца","Враца","43.204500","23.491300","не е посочена","лесен","линеен","Маршрутът започва от м. Леденика, минава през букова гора, открити пасища, скални венци и пещера Песопин камък, с чешма и кът за отдих.","Маршрутът стартира от местността Леденика и преминава през вековна букова гора, открити пасища и внушителни скални венци. Пътеката отвежда до пещерата Песопин камък, където туристите могат да отдъхнат край изградена чешма и уютен кът. Отличен избор за първи стъпки в планинарството.","Лесен образователен маршрут от Леденика до пещера Песопин камък, идеален за начинаещи.","Букови гори | Пещера Песопин камък | Скални венци","Лесен терен без сериозни изкачвания. Предимно меки горски пътеки и открити пасища.","начинаещи туристи | семейства с деца | ученически групи","пролет-есен","няма","Пещера Леденика | Врачански карст","https://www.vr-balkan.net/","high","Регионът е коригиран към Враца."
"78","E3 Етап 4: Витиня - Кардиново","София","Ботевград","42.783333","23.800000","25","трудна","европейски маршрут","Преминаване към источната част на Стара Планина","Този етап от Ком-Емине бележи плавен преход към по-суровата централна част на Стара планина. Започвайки от историческия проход Витиня, маршрутът навлиза в по-диви и по-рядко посещавани горски масиви. Пътеката предлага уединение, потапяне в автентичната природа и изисква добра издръжливост.","Горски етап от маршрута Е3, свързващ прохода Витиня с вътрешността на Стара планина.","Проход Витиня | Старопланински букови гори | Дива природа","Предимно горски терен със средна към висока трудност поради дължината и постоянните изкачвания.","опитни планинари | любители на дългите преходи","лято-есен","по-слаба маркировка в някои участъци, препоръчително е ползването на GPS навигация","Ботевградски проход | Връх Мургаш","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","medium","Координатите са ориентировъчни."
"79","E3 Етап 5: Кардиново - Тетевен","Ловеч","Тетевен","42.916667","24.266667","16","умерена","европейски маршрут","Спускане към град Тетевен с красивите пещери","Живописен етап от Е3, който предлага приятно спускане през вековните букови гори на Тетевенския балкан. Маршрутът отвежда туристите до град Тетевен, преминавайки в близост до забележителни карстови образувания и пещери, предлагайки отлична възможност за културен туризъм след прехода.","Спускане от билото на Стара планина към живописния Тетевен с неговите пещери.","Град Тетевен | Тетевенски балкан | Карстови масиви","Умерен терен, доминиран от горски пътеки със спускане. Сравнително лек за ориентиране.","туристи със среден опит | групи","пролет-есен","пазете коленете при по-стръмните спускания","Гложенски манастир | Пещера Съева дупка","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","low","Източник: общи топографски данни."
"80","E3 Етап 6: Тетевен - Чулово","Ловеч","Тетевен","42.920000","24.300000","14","умерена","европейски маршрут","Маршрут през северните склонове","Този етап продължава приключението по Е3, като се движи основно по северните, по-влажни и сенчести склонове на Стара планина. Трасето пресича красиви горски масиви и стари коларски пътища, предлагайки спокойствие и умерено физическо натоварване далеч от най-популярните туристически зони.","Сенчест маршрут по Е3, преминаващ през спокойните северни склонове на Стара планина.","Северен Балкан | Вековни букови гори | Тишина и спокойствие","Умерен терен, редуващ горски пътеки с малки изкачвания.","туристи със среден опит | любители на тишината","лято-ранна есен","влажни участъци, които стават хлъзгави след дъжд","Резерват Боатин (наблизо) | Тетевен","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","low","Координатите са ориентировъчни."
"81","E3 Етап 7: Чулово - Боян","Ловеч","Априлци","42.750000","24.950000","19","трудна","европейски маршрут","Възход към хребета със красива панорама","Пореден живописен етап от старопланинския маршрут Ком-Емине, преминаващ през централното било. Пътеката предлага продължителни изкачвания и открива зашеметяващи панорами към Северна и Южна България. Изисква отлична ориентация и физическа подготовка при лошо време.","Панорамен старопланински преход по главното било към сърцето на Балкана.","Главно старопланинско било | Панорамни гледки | Дива природа","Труден планински терен с големи денивелации. Пътеката следва билото на планината.","опитни планинари | добре екипирани туристи","лято-ранна есен","силни ветрове по билото; бърза промяна на метеорологичните условия","Връх Ботев | Хижа Тъжа","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","low","Регионът е коригиран от Габрово на Ловеч."
"82","E3 Етап 8: Боян - Розова долина","Стара Загора","Казанлък","42.666667","25.333333","21","трудна","европейски маршрут","Преминаване през розовите плантации към Казанлък","Спускане от суровия Балкан към благоуханната Розова долина. Този етап комбинира високопланински гледки с мекия климат на Подбалканските котловини. Пътеката навлиза в исторически райони и предлага плавен преход към по-населените места на юг.","Преход от старопланинското било към живописната Розова долина.","Изгледи към Розовата долина | Исторически местности | Горски пояси","Смесен терен с преобладаващо продължително спускане. Изисква издръжливост в коленете.","много добре подготвени туристи | издръжливи планинари","лято-есен","умора от дългото спускане; летни горещини в ниското","Връх Столетов | Долината на тракийските царе","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","low","Регионът е коригиран от Габрово на Стара Загора."
"83","E3 Етап 9: Розова долина - Шипка","Стара Загора","Шипка","42.748333","25.328889","12","умерена","европейски маршрут","Исторически маршрут към Шипка с военни паметници","Исторически наситен етап от Ком-Емине, който отвежда туристите до легендарния Национален парк-музей Шипка. Маршрутът преминава през букови гори и открити исторически поляни, където са се водили решителните битки за Освобождението на България.[10]","Исторически етап от Ком-Емине, водещ до паметника на връх Шипка.","Паметник на свободата Шипка | Исторически поляни | Букови гори","Умерен терен с добре оформени горски и открити пътеки. Сравнително къса дистанция.","любители на историята | подготвени туристи | ученически групи","пролет-лято-есен","силен вятър в района на самия паметник","Връх Бузлуджа | Храм-паметник Рождество Христово","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","medium","Регионът е коригиран от Габрово на Стара Загора."
"84","E8 Этап 8: Костенец - Чепино","София","Костенец","42.266667","23.866667","22","умерена","европейски маршрут","Преминаване към Централните Родопи","Живописен етап от европейския маршрут Е8, който осъществява плавен преход от подножието на Рила към меките гънки на Западните Родопи. Маршрутът стартира от района на Костенец, известен с минералните си извори, и се вие през красиви горски пейзажи, достигайки до Чепино във Велинград.","Преходен етап от Е8, свързващ термалните извори на Костенец със Западните Родопи.","Термални извори Костенец | Западни Родопи | Долината на Чепинска река","Умерен терен, редуващ черни пътища и горски пътеки без екстремни денивелации. Дълга дистанция (22 км).","туристи със средна подготовка | издръжливи планинари","пролет-есен","внимание при пресичане на автомобилни пътища; дълъг преход","Костенски водопад | Клептуза (Велинград)","https://www.era-ewv-ferp.org/bg/e-paths/e8/e8-in-bulgaria/","medium","Регионът е коригиран към София област/Пазарджик."
"93","Тетевенска баба","Ловеч","Тетевен","42.791111","24.332500","не е посочена","умерена","кръгов","Екопътека във България, регион Габрово. Тетевенска баба.","Екопътеката предлага изкачване до един от панорамните върхове в Златишко-Тетевенската планина – връх Тетевенска баба (2071 м). Трасето преминава през дълбоки горски долове, преминавайки в открита алпийска част с впечатляващи гледки към главното било на Стара планина и резерват Царичина.","Предизвикателно изкачване до панорамния връх Тетевенска баба (2071 м) в Стара планина.","Връх Тетевенска баба | Златишко-Тетевенска планина | Резерват Царичина","Умерен до труден терен с продължително и стръмно изкачване в горната си част.","опитни туристи | хора в добра физическа форма","лято-ранна есен","висока вероятност от мъгли в откритите части; рязка промяна на времето","Връх Вежен | Резерват Боатин","https://ablebump.com/%D0%B7%D0%BB%D0%B0%D1%82%D0%B8%D1%88%D0%BA%D0%BE-%D1%82%D0%B5%D1%82%D0%B5%D0%B2%D0%B5%D0%Bd%D1%81%D0%BA%D0%B0-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D0%BD%D0%B0/","medium","Системна грешка: Регионът е коригиран от Габрово на Ловеч."
"113","E4 Етап 3: Перелик - Рила манастир","Кюстендил","Рила","42.133333","23.333333","24","трудна","европейски маршрут","Спускане към Рила със светилища и манастири","*Забележка: Суровите данни съдържат географска неточност, тъй като Перелик е в Родопите.* Маршрутът в този етап на Е4 се фокусира върху достигането до сърцето на планината – историческият Рилски манастир. Преходът е тежък, изпълнен с древни манастирски пътеки, предлагащи дълбоко духовно и природно изживяване.","Труден етап от Е4, водещ към историческото сърце на планината – Рилския манастир.","Рилски манастир | Древни манастирски пътеки | Природен парк Рилски манастир","Труден терен с голяма денивелация и скалисти участъци.","опитни планинари | добре екипирани туристи","юли-септември","участъци с риск от подхлъзване; наличие на диви животни","Рилски манастир | Стобски пирамиди","https://rilanationalpark.bg/","low","Налице е фундаментална географска грешка в първичните данни (Перелик)."
